LCS,match,total_match
อนุสัญญาสหประชาชาติCOP,310,2460
COPกลาสว์,133,2460
เจ้าพนักงานละเว้นโดยมิชอบ,91,2460
อนุสัญญาสหประชาชาติCOPกลาสว์,75,2460
แพนเค้กเขมนิจ,21,2460
ความเป็นกลาง2050เรือนกระจก2065,19,2460
สมัชชาอนุสัญญาสหประชาชาติCOP,18,2460
COPกลาสว์สกอตแลนด์,18,2460
จดหมายเปิดผนึกเจตนารมณ์,17,2460
กลาสว์สกอตแลนด์,16,2460
คิงเต็ดลิมิเต็ดเหมืองอัคการแถลงคำชี้ขาดอนุญาโตตุลาการ,15,2460
แผ่ตะวันออกเฉียงใต้มลายูตะวันออกเฉียงใต้สมุทรสงครามตะวันออกเฉียงใต้ตะวันออกเฉียงใต้,15,2460
จดหมายประกันภัยผู้เจรจาโปแลนด์เห็นควรผู้ดำเนินการจดหมายรับบริจาค,14,2460
ประมวลกฎหมายอาญา112116,13,2460
ธิติสรรค์อุทโจ้,13,2460
เจ้าพนักงานละเว้นโดยมิชอบเจ้าพนักงานละเว้นอย่างใดโดยมิชอบทารุณโหดร้าย,13,2460
กฎหมายอาญา112116,13,2460
เกยตื้นสมุทรเจดีย์,12,2460
การระงับข้อพิพาทคิงเต็ดลิมิเต็ด,12,2460
เจ้าพนักงานละเว้นอย่างใดโดยมิชอบ,12,2460
LeadersSummitอนุสัญญาสหประชาชาติ,12,2460
ทารุณโหดร้ายข่มขืนใจกระทำการกระทำการ,12,2460
แช่มดีผู้กล่าวหาธิติสรรค์อุทรวีโรจน์,12,2460
เรือนกระจกNetZero,12,2460
โดยทุจริตเจ้าพนักงานละเว้น,12,2460
"ติ๊กเจษฎาณ์""",11,2460
สหประชาชาติCOPกลาสว์,11,2460
การทรุดหามเมื่อคืนนี้ICUได้สติศักทั้งปวง,11,2460
เจ๊ม้อยvplus,10,2460
ภู่หัวหน้าศูนย์เฉพาะทางภาควิชากุมารเวชศาสตร์แพทยศาสตร์YongPoovorawan,10,2460
สกาโรงหนังความทรงจำ,9,2460
ข้อยุติรับบริจาคโปแลนด์ข้อสรุปรับบริจาคการประสานงานขออภัยลอต,9,2460
เรือนกระจกให้สัตยาบันความตกลง2015ภูมิอากาศความเป็นกลาง2050เรือนกระจก,9,2460
19.00ตามเวลากลาสว์02.00พิพิธภัณฑ์Kelvingroveงานเลี้ยงรับรอง,9,2460
การประสานงานรับบริจาคModernaอายุใช้งานยุโรปตะวันออกประสานกันโปแลนด์แสดงความจำนง,9,2460
ตามเวลากลาสว์,9,2460
สถานทูตวอร์ซอแต่ต้นการอนุญาตบริษัทผู้ผลิตโปแลนด์ผู้รับผิดชอบตลอดทั้ง,8,2460
สุพรรณการทรุดหามเมื่อคืนนี้ICUได้สติศักทั้งปวง,8,2460
คิงเต็ดลิมิเต็ด,8,2460
ปฏิบัติภารกิจอนุสัญญาสหประชาชาติCOP,8,2460
สนั่นอังอุบลหอการค้าหอการค้า,8,2460
โป๊เหน่งโป๊เหน่ง,7,2460
ประมวลกฎหมายอาญา112116จุดยืน,7,2460
ประกันภัยประกันภัยประกันภัย,7,2460
ค่าขนส่งตลอดทั้งประกันภัยรับผิดสถานทูตวอร์ซอแต่ต้นการอนุญาต,7,2460
ประสานกันโปแลนด์แสดงความจำนงลายลักษณ์อักษรในนามของผู้รับผิดชอบผู้ขนส่งประกันภัย,7,2460
เพลิงไหม้ตลาดนัดหอนาฬิกา,7,2460
โปแลนด์Modernaตามที่เห็นสมควรข้อยุติรับบริจาคโปแลนด์ข้อสรุปรับบริจาค,6,2460
"7,5746,793256515",6,2460
ปฏิบัติภารกิจอนุสัญญาสหประชาชาติ,6,2460
"""ผมเล่นการเมืองfake",6,2460
เจ้าฟ้าชาร์ลส์มกุฎราชกุมาร,6,2460
อนุสัญญาสหประชาชาติUNFCCCCOP,6,2460
น้ำมันเชื้อเพลิง(กบกู้ยืมน้ำมันเชื้อเพลิง,6,2460
โปแลนด์สถานทูตโปแลนด์รับบริจาคแลนค์จดหมายประกันภัยผู้เจรจา,6,2460
การทรุดหามเมื่อคืนนี้ICUได้สติ,6,2460
ไพรัชเพลิงไหม้ตลาดนัดเฟอร์นิเจอร์ตลาดนัดสายยางการดับเฟอร์นิเจอร์,6,2460
"สื่อลามกการพนัน3,9643,804",6,2460
สมภพน้ำมันเชื้อเพลิง(กบกู้ยืมน้ำมันเชื้อเพลิงสภาพคล่องตรึงราคาค่าครองชีพ,6,2460
ผ่อนผันความเข้มงวดให้ความร่วมมือรัฐศาสตร์นิติศาสตร์ผับคาราโอเกะการฝ่าฝืน,6,2460
ONEMAPสารสนเทศ,6,2460
ปวีณ์กรพยานเอกสารวัตถุพยานลงความเห็นเจ้าพนักงานละเว้นโดยมิชอบ,6,2460
ประมวลกฎหมายอาญา112116จุดยืนพระมหากษัตริย์พระมหากษัตริย์พระมหากษัตริย์ข้อคิดเห็น,6,2460
จวกCOPเจ็ต,6,2460
"ไบโอ580,000700,000",6,2460
ผู้บริจาคผู้บริจาคเป็นผู้แทนแสดงเจตนารับบริจาคModernaโปแลนด์สถานทูต,6,2460
AmazingSafetyAdministrationSHA,6,2460
อายุใช้งานยุโรปตะวันออกประสานกันโปแลนด์แสดงความจำนงลายลักษณ์อักษรในนามของผู้รับผิดชอบ,6,2460
ผู้ขนส่งประกันภัยสติค่าขนส่งตลอดทั้งประกันภัยรับผิดสถานทูต,6,2460
"บิทคับBitkubOnlineCo.,Ltd.)",6,2460
ภู่หัวหน้าศูนย์เฉพาะทางภาควิชากุมารเวชศาสตร์แพทยศาสตร์,5,2460
กลาสว์COP,5,2460
"Co.,Ltd",5,2460
ความผิดปกติพังผืดคลื่นความถี่การบีบกล้ามเนื้อหัวใจกล้ามเนื้อหัวใจอุดตันหลอด,5,2460
AmazingSafetyAdministration,5,2460
ผู้พิพากษาศาลฎีกาเผคดีอาญาตำเหน่งอัยการสูงสุดวิรัช,5,2460
SHASHASHA,5,2460
งานเลี้ยงรับรองอนุสัญญาสหประชาชาติCOP,5,2460
การกู้เงินน้ำมันเชื้อเพลิงน้ำมันเชื้อเพลิง,5,2460
แป๊ะนายร้อยแป๊ะ,5,2460
ถ้อยแถลงอนุสัญญาสหประชาชาติCOPกลาสว์,5,2460
ผู้ใดชื่อย่อเครื่องหมายถ้อยคำอักษรอักษรระวางโทษ,5,2460
การครอบครองโจ้410พิรุธสินบนนำจับการครอบครอง131,5,2460
สหประชาชาติUnitedNations,5,2460
อนุสัญญาสหประชาชาติCOPกลาสว์สกอตแลนด์,5,2460
Livingwithทางเข้าออกระยะแรกครึ่งหลัง5.8KKPResearch,5,2460
ราชินีลิ่มเลือดอุดตันหลอดเลือดแดงอาการไอแน่นหน้าอกยาปฏิชีวนะ,5,2460
ส่วนต่อการประมูลรฟม.สีม่วงประมูลผู้รับเหมาส่วนต่อการประมูล,5,2460
ข้อยุติอนุญาโตตุลาการอนุญาโตตุลาการอนุญาโตตุลาการการระงับข้อพิพาทคิงเต็ด,5,2460
ติ๊กเจษฎาแพนเค้กเขมนิจ,5,2460
"ไบโอ580,000700,000โดยเฉลี่ย10.535.1",5,2460
ถ้อยแถลงLeadersSummitอนุสัญญาสหประชาชาติUnitedNationsFramework,5,2460
คมนาคมท่าอากาศยานสุวรรณภูมิ,4,2460
เป็นที่ตั้งจำนำหนักแน่นการระงับข้อพิพาทสำนักงานอัยการสูงสุดกระทรวงยุติธรรมสำนักงานการตรวจเงินแผ่นดิน,4,2460
PfizerProteinBasedในนามของค่าขนส่งประกันภัยรับบริจาคข้อบ่งชี้,4,2460
อายัดทรัพย์โจ้สันนิษฐานคฤหาสน์ประเมินราคาคอนโดมิเนียมยูนิตกระบอก,4,2460
เจ้าพนักงานละเว้นโดยมิชอบผู้ใดละเว้นโดยทุจริตเจ้าพนักงาน,4,2460
"บิทคับ17,85035,000บิทคับแคปปิตอลกรุ๊ป",4,2460
ลูกโซ่จูงใจระยะแรก,4,2460
บิทคับแคปปิตอลกรุ๊ปโฮลดิ้งBitkubEconomyBitkub,4,2460
สินทรัพย์AssetExchangeบิทคับแคปปิตอลกรุ๊ปโฮลดิ้ง,4,2460
"ขายทอดตลาดเทวีประมูล2,116อินเตอร์อีสคอร์ปอเรชั่นเฟค",4,2460
โจ้ศุลกากรพิรุธพิรุธรับสินบนนำจับทั้งคนโจ้,4,2460
LeadersSummitอนุสัญญาสหประชาชาติUnitedNationsFrameworkConvention,4,2460
SCBSหุ้นสามัญผู้ถือหุ้นบิทคับBitkubOnlineCo,4,2460
สหประชาชาติCOPกลาสว์สกอตแลนด์,4,2460
DemocracyRestorationGroupDRGผู้ประสานงาน,4,2460
ขจรท่าอากาศยานสุวรรณภูมิ,4,2460
อากรรังนกอีแอ่น2540,4,2460
"เปิดผนึกเจตนารมณ์กระบวนการผลิตไบโอ580,000700,000โดยเฉลี่ย10.5",4,2460
ท่าอากาศยานสุวรรณภูมิ(ทท่าอากาศยาน,4,2460
นรินทร์รัชตพิชญ,4,2460
CREDITPHOTO],4,2460
ระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,4,2460
215ผู้ใดขัดขวางเจ้าพนักงานตามหน้าที่ใช้กำลังประทุษร้ายขู่เข็ญใช้กำลังประทุษร้าย,4,2460
จำเลยมั่วสุมใช้กำลังประทุษร้ายขู่เข็ญใช้กำลังประทุษร้ายกระทำการอย่างใดคนใด,4,2460
โก่งคดตรวจร่างกายคดโก่งปุ้มความผิดปกติพังผืด,4,2460
"ไบโอ580,000700,000โดยเฉลี่ย10.535.1วิถีทางแหล่งผลิต",4,2460
คู่รักตังค์ทั้งชาติป๊อก,4,2460
five-fiveว์Eriminซองสรรพคุณให้ผลออกฤทธิ์มึนเมา,4,2460
พ.คดีอาญาผู้ดำรงตำแหน่งทางการเมือง.อ,4,2460
เจษฎาแพนเค้ก,4,2460
เงินเฟ้อ1.6ตลอดปีเข้าใกล้น้ำมันดิบบาร์เรลอุปสงค์ประเทศพัฒนาแล้ว,3,2460
ลิ่มเลือดอุดตันหลอดเลือดแจ้งให้ทราบกล้ามเนื้อหัวใจขอบพระคุณราชินีดูแลรักษา,3,2460
