LCS,match,total_match
นิโรธเลขาวิป,39,1445
ลมแรงรักษาสุขภาพหนาวเย็น,21,1445
จัดเรียงกระสอบทราย19.30,20,1445
คลับเฮ้าส์toxicเหยียด,20,1445
ตระหนักถึงแยกตัวคลุกคลีมิ้งค์เฟอร์เร่อ๊อตกวาง,15,1445
ขออภัยจัดเรียงกระสอบทราย19.30,14,1445
แพกซ์วิดแพกซ์วิด,12,1445
ประโคนประโคนชนก,12,1445
แพกซ์วิดเม็ดเม็ด,11,1445
มวลอากาศแผ่แผ่ลมแรงรักษาสุขภาพหนาวเย็นตอนเช้าตอนเช้า,10,1445
ทางเลี่ยงเมือง122กลางแดด,10,1445
กรุงธนกรุงธนกรุงธนสิรินธรเลี้ยวจรัญสนิทวงศ์พระรามพระราม,10,1445
ชนกนัดดาตุ้ม,10,1445
เจ๊ม้อยvplus,9,1445
พระรามขาออกวงแหวน,9,1445
ประโคนประโคนชนกนัดดา,9,1445
อาคมพิทยาไพสิฐ,9,1445
สิรินธรเลี้ยวจรัญสนิทวงศ์พระรามพระรามพระนครราชวิถีพระราม,9,1445
ศาลฎีกาคดีอาญาผู้ดำรงตำแหน่งทางการเมือง,8,1445
ยาเสพติดให้โทษยาเสพติดให้โทษ2522,8,1445
พรรคร่วมรัฐบาลวิปวิป,8,1445
Molnupiravirแพกซ์วิดPAXLOVID,8,1445
กลาสว์สกอตแลนด์,7,1445
นรเจ๊กพิรุณ,7,1445
คำสร้อยพิทยาสรรค์,7,1445
การประปานครหลวงกปน.,7,1445
สัตวแพทยศาสตร์จุฬาฯวารสารมีเจ้าของตระหนักถึงแยกตัวคลุกคลีมิ้งค์,7,1445
แพกซ์วิดPAXLOVID,7,1445
พระนครราชวิถีพระรามพระราม,7,1445
รักษาสุขภาพหนาวเย็นตอนเช้าตอนเช้าลมแรง,6,1445
คลับเฮ้าส์toxicเหยียดคอมฯ,6,1445
น้ำทะเลสุขุมวิทรถรางปู่เจ้าสมิงพรายลวดสุขุมวิทน้ำทะเล,6,1445
คลังแสงมหาสารคามวิป,6,1445
