LCS,match,total_match
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,423,2801
คำวินิจฉัยศาลรัฐธรรมนูญล้มล้าง,142,2801
ระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,125,2801
สหเจียรเสี่ยโจ้,40,2801
แช่ไวน์ห้องทำงาน,36,2801
ล้มล้างคำวินิจฉัยศาลรัฐธรรมนูญ,32,2801
คำวินิจฉัยศาลรัฐธรรมนูญคำวินิจฉัย,32,2801
จาดปนัสรุ้ง,28,2801
จาดปนัสรุ้งปราศรัย,27,2801
ศาลรัฐธรรมนูญคำวินิจฉัยล้มล้าง,24,2801
ระบอบระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,23,2801
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุขศาลรัฐธรรมนูญ,22,2801
ลมแรงรักษาสุขภาพหนาวเย็นชายฝั่งควรระวังลมแรงเข้าหาชาวเรือ,20,2801
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์,20,2801
ตุลาการศาลรัฐธรรมนูญคำวินิจฉัย,17,2801
เวชกรรม2525เวชกรรมระวางโทษ,16,2801
ณฐพรประยูรผู้ตรวจการแผ่นดิน,15,2801
ซ่อนเร้นล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุขมิใช่,15,2801
"7,4966,942302240",14,2801
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุขวรรค,14,2801
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุขวรรคกระทำการ,13,2801
เอ็นเตอร์เทนคนโปรดโจวซิงฉือนะค้า,12,2801
มาตุภูมิDHSNationalTerrorismAdvisorySystemBulletinNTAS,12,2801
SocialGovernanceESG,12,2801
สิ้นสลายการเขียนเกิดผลบ่อนทำลายด้อย,11,2801
คำวินิจฉัยศาลรัฐธรรมนูญศาลรัฐธรรมนูญ,11,2801
คำวินิจฉัยศาลรัฐธรรมนูญคำวินิจฉัยศาลรัฐธรรมนูญ,11,2801
ชายฝั่งควรระวังลมแรงเข้าหาชาวเรือเดินเรือ,10,2801
ศาลรัฐธรรมนูญคำวินิจฉัยจาดปนัสรุ้ง,10,2801
เสี่ยโจ้เสี่ยโจ้,10,2801
เสี่ยโจ้เผ่นข้ามแดนซุกลอยนวล,10,2801
ระบอบประชาธิปไตยพระมหากษัตริย์ประมุขวรรค,10,2801
รักษาสุขภาพหนาวเย็นชายฝั่งควรระวังลมแรงเข้าหาชาวเรือเดินเรือ,9,2801
คำวินิจฉัยศาลรัฐธรรมนูญผูกพัน,9,2801
ธิเบศรอดุลยเดชบพิตร,9,2801
เนื้อร้องความเป็นอิสระเมืองขึ้นสติปัญญาพระมหากษัตริย์,9,2801
สหเจียรเสี่ยโจ้ฟอกเงินห้วยขวางฟ้องคดีฟอกเงิน,9,2801
รธน.รุ้งล้มล้าง,8,2801
คำวินิจฉัยศาลรัฐธรรมนูญศาลรัฐธรรมนูญกังศศิศาลรัฐธรรมนูญษฐตุลาการ,8,2801
จาดปนัสรุ้งปราศรัยข้อเรียกร้องล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์,8,2801
ฉมาดลพรรคพลังธรรมใหม่,8,2801
ปนัสล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,7,2801
การปราศรัยจาดปนัส,7,2801
เซาะกร่อนบ่อนทำลาย,7,2801
เจ้าท่ากมลาไสย,7,2801
ศาลรัฐธรรมนูญคำวินิจฉัยล้มล้างคำวินิจฉัย,7,2801
ล้มล้างศาลรัฐธรรมนูญคำวินิจฉัย,7,2801
"ธ.ก.ส.10,000อาศัยที่โรงเรือนเครื่องจักรกลอัตราดอกเบี้ยMRR-MRR",7,2801
"2,2772.121.26น้ำทะเลฟันหลอ0.991.80มีนบุรี",6,2801
มวลอากาศแผ่ลมแรงรักษาสุขภาพหนาวเย็นชายฝั่งควรระวังลมแรง,6,2801
บำบัดผู้ต้องขังDOGTHERAPYบำบัดขัดเกลาปลูกฝังผู้ต้องขัง,6,2801
มวลอากาศลมแรงรักษาสุขภาพหนาวเย็นชายฝั่งควรระวังลมแรงเข้าหา,6,2801
กำโลนลานสกา,6,2801
ศาลรัฐธรรมนูญการปราศรัยจาดปนัสล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,6,2801
ฉมาดลพรรคพลังธรรมใหม่การปฏิรูปลดราคาค่าเสียหายคดีแพ่งลดราคา,6,2801
ตุลาการศาลรัฐธรรมนูญชี้ขาดจาดปนัสล้มล้างล้มล้างระบอบประชาธิปไตย,6,2801
กำสังข์ประไพ,6,2801
ธ.ก.ส.4.5วหาธนาคารเพื่อการเกษตรและสหกรณ์การเกษตรธ.ก.ส.พายุโซนร้อนร็อกซุ,6,2801
จาดปนัสล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,6,2801
เจตนารมณ์อธิปไตยปวงชนพระมหากษัตริย์อธิปไตยพระมหากษัตริย์การวินิจฉัยอาณาจักร,6,2801
โจ้การปล่อยตัวสห,6,2801
แข็งแกร่งความอุดมสมบูรณ์ภาคอุตสาหกรรมทัดเทียมก้าวหน้าประชาคมกันภัยComprehensive,6,2801
แสงเทียนตุลาการศาลรัฐธรรมนูญหะตุลาการศาลรัฐธรรมนูญนภดลตุลาการ,6,2801
ไต่สวนคำวินิจฉัยข้อเรียกร้องพระมหากษัตริย์พระมหากษัตริย์สถาพรระบอบประชาธิปไตยสง่างาม,6,2801
น้อมนำเศรษฐกิจพอเพียงพระราโชบาย,6,2801
.ปคแอบอ้างเวชกรรมสมัครงานนอกเวลาเอกสารสิทธิแสดงตนปลอมแปลง,5,2801
ขีดสุ่มคับแคบUniversalPeriodicReviewUPRสหประชาชาติ,5,2801
"223,903516,27831,288",5,2801
สมัชฌ์ร.ต.ทำนุ,5,2801
ไอดอลตี้บล็อกเกอร์สะบัดแปรงพระพุทธเจ้า,5,2801
ธ.ก.ส.เยี่ยมเยียนรวมพลหาอาหารสุขาธ.ก.ส.ชำระคืนลูกหนี้,5,2801
อาศัยที่โรงเรือนเครื่องจักรกลอัตราดอกเบี้ยMRR-MRR6.50ชำระคืน,5,2801
PandemicEndemicไข้หวัดใหญ่ครึ่งหลัง,5,2801
ศาลรัฐธรรมนูญรุ้งล้มล้าง,5,2801
กร่อนบ่อนทำลายระบอบประชาธิปไตยพระมหากษัตริย์ประมุขปลุกระดมกษัตริย์สิ้นสลาย,5,2801
คำวินิจฉัยณฐพรประยูรศาลรัฐธรรมนูญการปราศรัยจาดปนัสล้มล้าง,5,2801
ฉุนเปตองชัก,5,2801
"เมาะลำไยพะโคอิรวดีข้ามแดนนายหน้า25,000/คน",5,2801
จาดปนัสรุ้งปราศรัยมหาวิทยาลัยธรรมศาสตร์รังสิต,5,2801
กรมสรรพสามิตอัตราภาษีราคาขายปลีกท้องตลาดถูกกฎหมายสารปนเปื้อนสารเคมีตกค้าง,5,2801
กลับรถนางรองนางรอง,5,2801
Icantbelievethistinylittlebaby,5,2801
GuillotineItgoesYahDeathGrips,5,2801
ผู้ใดระวางโทษปรับ,5,2801
kingcandowrong,5,2801
"CKPower2,508.8377.917.7กำไรสุทธิผู้ถือหุ้น1,234.9403.6",5,2801
เชฏฐ์นาฏห้องทำงาน,5,2801
จาดปนัสรุ้งล้มล้าง,5,2801
ข้อคิดเห็นการเข้าสู่BCGAPECประยุกต์ใช้เกิดผลน้อมนำเศรษฐกิจพอเพียง,5,2801
ศาลรัฐธรรมนูญคำวินิจฉัยจาดปนัสรุ้งปราศรัยมหาวิทยาลัยธรรมศาสตร์รังสิต,4,2801
ธเรศกรัษรวิ,4,2801
จาดปนัสรุ้งปราศรัยมหาวิทยาลัยธรรมศาสตร์รังสิตข้อเรียกร้องการปฏิรูป,4,2801
เสี่ยโจ้ฟอกเงิน,4,2801
ล้มล้างรุ้งปนัส,4,2801
พุทธิณณกันต์,4,2801
ศาลรัฐธรรมนูญคำวินิจฉัยณฐพรประยูรศาลรัฐธรรมนูญการปราศรัยจาดปนัส,4,2801
1.26น้ำทะเลฟันหลอ0.991.80มีนบุรี0.410.90,4,2801
จาดคุมขังไต่สวนสถิตระบอบประชาธิปไตยพระมหากษัตริย์ประมุขยึดถือ,4,2801
ปนัสรุ้งล้มล้าง,4,2801
ประมวลกฎหมายอาญา112คำวินิจฉัย,4,2801
พระมหากษัตริย์ระบอบประชาธิปไตยธำรงเกียรติยศถ้อยวลีระบอบประชาธิปไตยพระมหากษัตริย์,4,2801
ณฐพรประยูรศาลรัฐธรรมนูญ,4,2801
แนวร่วมมหาสารคามปฏิวัติป๋วยก้าวหน้ามหาวิทยาลัยขอนแก่นมหาวิทยาลัยธรรมศาสตร์โจ้,4,2801
กฤษฎางค์นุต,4,2801
ผู้ต้องขังผู้ต้องขังผิดวินัยซ้ำซากจิตเวชผู้ต้องขังสูงอายุการบำบัด,4,2801
แช่ไวน์แช่,4,2801
ตี้บล็อกเกอร์สะบัดแปรงพระพุทธเจ้า,4,2801
"7,4967,256240",4,2801
เชฏฐ์นาฏแช่ไวน์,4,2801
มวลอากาศแผ่ลมแรง,4,2801
กุ้งกุ้งกุ้ง,4,2801
แผ่ลมแรงรักษาสุขภาพหนาวเย็นชายฝั่งควรระวังลมแรงเข้าหา,4,2801
GuillotineItgoesYah,4,2801
รุ้งปนัสล้มล้าง,4,2801
UniversalPeriodicReview,4,2801
ซ่อนเร้นล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุขมิใช่ศาลรัฐธรรมนูญไต่สวน,4,2801
คำวินิจฉัยล้มล้างคำวินิจฉัย,4,2801
ศาลรัฐธรรมนูญคำปราศรัยรุ้งล้มล้าง,4,2801
เซ็นทาราแกรนด์เซ็นทรัลเวิลด์,3,2801
ชันสูตรกระสุนปืนพิธีทางศาสนาลีลาอภิธรรม,3,2801
คลุ้มคลั่งเทวีถ่อ,3,2801
โรมสุพรรณวิลัย,3,2801
เกิดผลบ่อนทำลายด้อยอ่อนแอล้มล้างพระมหากษัตริย์,3,2801
พระมหากษัตริย์ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,3,2801
ลอนมัสก์ซีอีโอ,3,2801
"ทองรูปพรรณ28,091.4829,200",3,2801
สาธารณประโยชน์กรมทางหลวงกรมทางหลวงกรมเจ้าท่าการรถไฟแห่งประเทศไทยการไฟฟ้าส่วนภูมิภาคอปท.แสงสว่าง,3,2801
สถานเอกอัครราชทูตวอชิงตันมาตุภูมิการก่อการร้ายมาตุภูมิDHSNationalTerrorism,3,2801
มั่งคั่งประเทศพัฒนาแล้วพอเพียง,3,2801
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุขวรรคศาลรัฐธรรมนูญ,3,2801
พระมหากษัตริย์ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์,3,2801
ผู้ว่าการสำนักงานการตรวจเงินแผ่นดินสตง.แอบอ้างเรียกเก็บเงินค่าธรรมเนียมฟอกเงินสำนักงานคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ,3,2801
ตําแหน่ง)แนวร่วมมหาสารคามปฏิวัติป๋วยก้าวหน้า,3,2801
กิจจาหาญดาบ,3,2801
แช่ไวน์แช่น้ำผลไม้,3,2801
ธรรมาภิบาลEnvironmentSocialGovernanceESGผู้มีส่วนได้เสียความคาดหวัง,3,2801
SustainabilityInvestmentTHSI,3,2801
ประมุขพระมหากษัตริย์จุดมุ่งหมายมิใช่หมิ่นพระบรมเดชานุภาพพระมหากษัตริย์การแสดงความคิดเห็นถกเถียง,3,2801
"7,4521,880,63696,4501,846425",3,2801
"เมาะลำไยพะโคอิรวดีข้ามแดนนายหน้า25,000",3,2801
"7,4966,9423022401,996,969",3,2801
พิพากษาอายัดเสี่ยโจ้หมายศาลฟอกเงินกองปราบเสี่ย,3,2801
แผนงานความล่าช้าแหล่งน้ำแหล่งน้ำน้ำฝนชุมชนเมืองแผนแม่บทสทนช.,3,2801
สหเจียรเสี่ยโจ้ฟอกเงิน,3,2801
สหเจียรเสี่ยโจ้ฟอกเงินเห็นแย้งเห็นแย้งอัยการสูงสุด,3,2801
ประเมินผลผลสัมฤทธิ์แหล่งน้ำแผนแม่บท25662580แหล่งน้ำฤดูแล้ง,3,2801
จำนองอายัดขายทอดตลาดตกเป็นของ,3,2801
แหล่งน้ำเพิ่มปริมาณน้ำเสียน้ำบาดาลเพิ่มปริมาณแผนแม่บทสทนช.(กนช.),3,2801
ประทับฟ้องเป็นคดี3646คำให้การจำเลยสืบพยาน,3,2801
ยิวฉัตรมงคลพิธีแต่งงาน,3,2801
ความเท่าเทียมความเป็นธรรมผู้มีรายได้ความเท่าเทียมให้ข่าววปอ.ฉายหนังความกล้าหาญ,3,2801
มหาวิทยาลัยธรรมศาสตร์รังสิตล้มล้าง,3,2801
เสี่ยโจ้เสี่ยโจ้เสี่ยโจ้,3,2801
แช่ไวน์ไวน์,3,2801
"การนัดจ่ายหนี้2,500,000",3,2801
นิสิตนักศึกษาคำวินิจฉัยศาลรัฐธรรมนูญ,3,2801
ทัยรัตนากรธนาคารออมสินมหกรรมMoneyExpoเซ็นทรัลพลาซาอัตราดอกเบี้ย,3,2801
ไบเทคผู้มีอายุตรวจโรคตรวจโรคตรวจโรคพีซีPCR,3,2801
