LCS,match,total_match
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,141,1755
ระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,38,1755
ชายฝั่งควรระวังลมแรงเข้าหาชาวเรือเดินเรือ,20,1755
ตมสินธพกรมราชทัณฑ์,20,1755
ศาลรัฐธรรมนูญคำวินิจฉัยล้มล้าง,19,1755
ล้มล้างระบอบประชาธิปไตยพระมหากษัตริย์,19,1755
ทารุณโหดร้ายข่มขืนใจกระทำการกระทำการจำยอมสิ่งใดข่มขืนใจใช้กำลังประทุษร้าย,19,1755
ขั้นต้นGrossProfitMargin,14,1755
ไพโรจน์โชติกเสถียรกรมการจัดหางาน,12,1755
จาดปนัสรุ้ง,12,1755
กิตติ์ธาราพรรคไทยศรีวิไลย์,11,1755
สุภผู้ว่าการททท.,11,1755
ล่วงละเมิดInternetCrimesAgainstChildren-TICACTaskForce,11,1755
มวลอากาศตอนเช้ารักษาสุขภาพหนาวเย็นชายฝั่งควรระวังลมแรงเข้าหา,10,1755
เกลือข้องใจแฉฯ”,10,1755
อัยการสูงสุดฟ้องคดีเจ้าพนักงานละเว้นอย่างใดโดยมิชอบผู้ใดเจ้าพนักงาน,10,1755
เติ้งเสี่ยวผิง,10,1755
เจ้าบ่าวยิวฉัตรมงคล,10,1755
"2,1472.0014.371.21น้ำทะเลฟันหลอ1.041.80",10,1755
เสกสกลอัต,9,1755
หลอดแก้วห้อยการเจาะหลอดเด้อจริ๊ง5555,9,1755
ธิติสรรค์อุทโจ้,9,1755
"7,3056,651323320",9,1755
มงกุฎทุ่งสองห้องรถดับเพลิง,9,1755
อัตราส่วนสินทรัพย์BISratio19.9,8,1755
บักจ่อยคาบ,8,1755
ข่มขืนใจกระทำการกระทำการจำยอมสิ่งใดข่มขืนใจใช้กำลังประทุษร้ายข่มขืนใจ,8,1755
ความชื้นความชื้นความชื้น,8,1755
ลอยกระทงเที่ยวงานลอยกระทง,8,1755
