LCS,match,total_match
นพรัตน์ธาราอ่าว,38,1427
BigMountainMusicFestival,33,1427
ดาวโจนส์DowJonesSustainabilityIndicesDJSI,19,1427
ส.ว.256ส.ว.,15,1427
อ่าววิลล่าพสุ,14,1427
ANDAMANOTOPSHOP,14,1427
มวยไทยไฟต์โรงยิมเอนกประสงค์สนามกีฬากระโดงสเตเดียมเอช,10,1427
สหพันธ์TruckPower,10,1427
BLACKPINKษามโน,10,1427
เสกสกลอัต,9,1427
ระบอบประชาธิปไตยพระมหากษัตริย์ประมุข,9,1427
ประกันชีวิตสูงกภาระผูกพันกรมธรรม์ประกันภัยกรมธรรม์ผู้เอาประกันภัยประกันชีวิต,9,1427
พิมลหัวหน้ากลุ่มงานบุคคลหัวหน้ากลุ่มงานวิชาการหัวหน้ากลุ่มหัวหน้ากลุ่ม,8,1427
"14,99029,23066.1",8,1427
ดนุพิชยสศช.,8,1427
เจ้าพนักงานละเว้นโดยมิชอบผู้ใดละเว้นโดยทุจริตเจ้าพนักงานละเว้น,8,1427
จำเลยคำให้การจำเลย,7,1427
"กำไรสุทธิ51,115ขาดทุน",7,1427
DowJonesSustainability,7,1427
ธิติสรรค์อุทโจ้,7,1427
ขยับตัวการยกเว้นGoSandboxProgrammeสถานกักกันAlternativeQuarantine,7,1427
DowJonesSustainabilityIndicesDJSI,7,1427
สาระล่ำซำประกันชีวิตประกันชีวิตรอบด้านการรับประกันประกันชีวิต,7,1427
ชาวเรือเดินเรือมวลอากาศตอนเช้าตอนเช้าตอนเช้าเมฆเมฆ,7,1427
เจ้าฟ้าวัณณวฯ”,7,1427
อัยการสูงสุดประมวลกฎหมายอาญา143วรรคธนะความตายเจ้าพนักงาน,6,1427
พันธบัตรออมทรัพย์ออมลเล็ตสบอัตราดอกเบี้ย,6,1427
ประกันภัยคปภ.ประกันภัยวินาศภัยประกันภัยบอร์ดคปภ.Macroprudential,6,1427
ทึ่งหน่วยความจำแปะ,6,1427
อาคมพิทยาไพสิฐ,6,1427
ตลาดหลักทรัพย์วิสามัญผู้ถือหุ้น,6,1427
เจ้าพนักงานละเว้นโดยมิชอบ,6,1427
เจ้าพนักงานละเว้นอย่างใด,6,1427
"790สมใน8,705,936113.087,457,95796.877,699,17410,474",6,1427
ดนุพิชยสศช.สภาพัฒน์,5,1427
